title,subtitle,date,category,link,main_category
Rishi Sunak's claims on small boats fact checked,The prime minister gave an update on his policy of stopping small boats crossings.,2023-06-06,Reality Check,https://www.bbc.com/news/65811208,BBC Verify
The mystery results in Nigeria's disputed election,A BBC investigation has found significant discrepancies in the election results in one region of the country.,2023-05-16,Reality Check,https://www.bbc.com/news/65163713,BBC Verify
Do Labour or Conservatives have higher council tax?,Both parties claim to have cheaper council tax but it's very hard to tell.,2023-05-04,Reality Check,https://www.bbc.com/news/65471344,BBC Verify
Can Sudan refugees come to the UK legally?,Immigration minister Robert Jenrick wrongly said the UN could help Sudanese refugees come to the UK.,2023-04-27,Reality Check,https://www.bbc.com/news/65411589,BBC Verify
How did the government meet its police pledge?,The Conservatives meet their election pledge to recruit thousands of police officers.,2023-04-26,Reality Check,https://www.bbc.com/news/65377091,BBC Verify
Have the Conservatives increased council tax by 15%?,Labour made the claim in a campaign advert tweeted over the weekend.,2023-04-18,Reality Check,https://www.bbc.com/news/65299856,BBC Verify
Rishi Sunak asked to correct asylum figures error,Labour MP calls for a correction after the statistics regulator gets involved.,2023-04-05,Reality Check,https://www.bbc.com/news/65179974,BBC Verify
The Covid statements Boris Johnson was questioned about,MPs are investigating whether Mr Johnson was in contempt of Parliament.,2023-03-23,Reality Check,https://www.bbc.com/news/60203864,BBC Verify
The WhatsApp messages that complicate Johnson's defence,Boris Johnson claims his Downing Street colleagues thought rules were being followed.,2023-03-22,Reality Check,https://www.bbc.com/news/65031463,BBC Verify
Childcare money and other Jeremy Hunt Budget claims checked,The chancellor also made claims about immigration and surgeons working fewer hours.,2023-03-17,Reality Check,https://www.bbc.com/news/64979853,BBC Verify
The false claims fuelling Tunisia migrant tension,Videos falsely targeting African migrants in Tunisia have gone viral on TikTok and other platforms.,2023-03-10,Reality Check,https://www.bbc.com/news/64868994,BBC Verify
How far is Brexit to blame for the tomato shortage?,Many people have claimed Brexit is to blame for the UK tomato shortage - what is the evidence?,2023-03-04,Reality Check,https://www.bbc.com/news/64762429,BBC Verify
What did Boris Johnson say about Northern Ireland deal?,"Boris Johnson said his Brexit deal for Northern Ireland would mean ""no checks"" - but that didn't happen.",2023-03-03,Reality Check,https://www.bbc.com/news/58001530,BBC Verify
What did the government do about Covid and care homes?,The publication of Matt Hancock's messages focuses attention on what happened in care homes during the pandemic.,2023-03-01,Reality Check,https://www.bbc.com/news/52674073,BBC Verify
Keir Starmer's five missions speech fact-checked,Has the UK had the worst decade of growth for two centuries and other claims investigated.,2023-02-24,Reality Check,https://www.bbc.com/news/64745176,BBC Verify
President Putin's speech fact-checked,The Russian president gave a long address in Moscow - we've fact-checked of some his claims.,2023-02-22,Reality Check,https://www.bbc.com/news/64718139,BBC Verify
"Poverty, jobs, security: Nigeria poll claims checked","Claims about poverty, unemployment and insecurity feature prominently in this election campaign.",2023-02-20,Reality Check,https://www.bbc.com/news/64642608,BBC Verify
Investigating false posts about the Turkey earthquake,Some images claiming to show destruction in Turkey are from previous disasters in other countries.,2023-02-08,Reality Check,https://www.bbc.com/news/64557407,BBC Verify
Are pay review bodies completely independent?,Nurses are striking over a pay offer recommended by a review body.,2023-02-07,Reality Check,https://www.bbc.com/news/63970986,BBC Verify
Has the Brexit fishing promise come true?,Boris Johnson said his Brexit deal would mean lots of extra fish caught in the UK - has this happened?,2023-02-06,Reality Check,https://www.bbc.com/news/64430216,BBC Verify
Is Brexit costing £1m a day and other claims,Alastair Campbell and Jacob Rees-Mogg made claims about UK trade and the impact of Brexit.,2023-02-03,Reality Check,https://www.bbc.com/news/64485501,BBC Verify
How are sanctions affecting Russia's energy exports?,"Many countries are cutting back on Russian energy imports, but others are still buying.",2023-01-27,Reality Check,https://www.bbc.com/news/58888451,BBC Verify
Can these rocks really power light bulbs?,Viral videos of minerals with apparent electrical properties are not what they seem.,2023-01-26,Reality Check,https://www.bbc.com/news/64390767,BBC Verify
Lunar New Year 2023: China's Year of the Rabbit explained,More than a billion people are celebrating the Lunar New Year.,2023-01-19,Reality Check,https://www.bbc.com/news/60198659,BBC Verify
Will some teachers receive a 15.9% pay rise?,Fact-checking claims by Education Secretary Gillian Keegan and teachers' union boss Mary Bousted.,2023-01-19,Reality Check,https://www.bbc.com/news/64308563,BBC Verify
How many Covid cases are there in China?,"China has released a new Covid death figure, but there are concerns it is an underestimate.",2023-01-16,Reality Check,https://www.bbc.com/news/59882774,BBC Verify
